X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-1.400000e-02,2.000000e-05,
0,-9.843750e-02,8.281250e+00,
1,-9.375000e-02,8.250000e+00,
2,-9.687500e-02,8.265625e+00,
3,-9.218750e-02,8.218750e+00,
4,-9.531250e-02,8.234375e+00,
5,-8.750000e-02,8.187500e+00,
6,-9.062500e-02,8.203125e+00,
7,-8.125000e-02,8.156250e+00,
8,-8.437500e-02,8.156250e+00,
9,-7.500000e-02,8.109375e+00,
10,-7.656250e-02,8.109375e+00,
11,-6.718750e-02,8.062500e+00,
12,-6.875000e-02,8.078125e+00,
13,-5.781250e-02,8.031250e+00,
14,-5.937500e-02,8.031250e+00,
15,-4.687500e-02,7.984375e+00,
16,-4.843750e-02,7.984375e+00,
17,-3.437500e-02,7.937500e+00,
18,-3.750000e-02,7.937500e+00,
19,-2.343750e-02,7.890625e+00,
20,-2.500000e-02,7.906250e+00,
21,-1.093750e-02,7.843750e+00,
22,-1.250000e-02,7.859375e+00,
23,1.562500e-03,7.812500e+00,
24,0.000000e+00,7.812500e+00,
25,1.406250e-02,7.781250e+00,
26,1.093750e-02,7.781250e+00,
27,2.656250e-02,7.734375e+00,
28,2.343750e-02,7.750000e+00,
29,3.906250e-02,7.718750e+00,
30,3.593750e-02,7.718750e+00,
31,5.000000e-02,7.687500e+00,
32,4.687500e-02,7.703125e+00,
33,5.937500e-02,7.671875e+00,
34,5.781250e-02,7.687500e+00,
35,7.031250e-02,7.656250e+00,
36,6.718750e-02,7.671875e+00,
37,7.812500e-02,7.640625e+00,
38,7.500000e-02,7.656250e+00,
39,8.437500e-02,7.640625e+00,
40,8.125000e-02,7.656250e+00,
41,9.062500e-02,7.640625e+00,
42,8.750000e-02,7.640625e+00,
43,9.531250e-02,7.671875e+00,
44,9.218750e-02,7.656250e+00,
45,9.843750e-02,7.687500e+00,
46,9.375000e-02,7.671875e+00,
47,9.843750e-02,7.703125e+00,
48,9.843750e-02,7.687500e+00,
49,9.375000e-02,7.718750e+00,
50,9.843750e-02,7.718750e+00,
51,9.218750e-02,7.750000e+00,
52,9.531250e-02,7.750000e+00,
53,8.750000e-02,7.781250e+00,
54,9.218750e-02,7.781250e+00,
55,8.281250e-02,7.812500e+00,
56,8.750000e-02,7.812500e+00,
57,7.656250e-02,7.859375e+00,
58,7.968750e-02,7.843750e+00,
59,6.718750e-02,7.906250e+00,
60,7.031250e-02,7.890625e+00,
61,5.781250e-02,7.937500e+00,
62,6.093750e-02,7.937500e+00,
63,4.843750e-02,7.984375e+00,
64,5.000000e-02,7.968750e+00,
65,3.750000e-02,8.031250e+00,
66,3.906250e-02,8.015625e+00,
67,2.656250e-02,8.062500e+00,
68,2.812500e-02,8.062500e+00,
69,1.406250e-02,8.109375e+00,
70,1.562500e-02,8.093750e+00,
71,1.562500e-03,8.140625e+00,
72,3.125000e-03,8.140625e+00,
73,-1.093750e-02,8.187500e+00,
74,-9.375000e-03,8.171875e+00,
75,-2.343750e-02,8.218750e+00,
76,-2.187500e-02,8.218750e+00,
77,-3.593750e-02,8.250000e+00,
78,-3.281250e-02,8.234375e+00,
79,-4.687500e-02,8.281250e+00,
80,-4.531250e-02,8.265625e+00,
81,-5.781250e-02,8.296875e+00,
82,-5.468750e-02,8.281250e+00,
83,-6.718750e-02,8.312500e+00,
84,-6.562500e-02,8.296875e+00,
85,-7.656250e-02,8.328125e+00,
86,-7.343750e-02,8.312500e+00,
87,-8.437500e-02,8.328125e+00,
88,-8.125000e-02,8.328125e+00,
89,-8.906250e-02,8.312500e+00,
90,-8.593750e-02,8.328125e+00,
91,-9.531250e-02,8.312500e+00,
92,-9.062500e-02,8.328125e+00,
93,-9.687500e-02,8.296875e+00,
94,-9.843750e-02,8.312500e+00,
95,-9.375000e-02,8.281250e+00,
96,-9.531250e-02,8.296875e+00,
97,-1.000000e-01,8.265625e+00,
98,-9.375000e-02,8.265625e+00,
99,-9.843750e-02,8.234375e+00,
100,-9.687500e-02,8.250000e+00,
101,-8.906250e-02,8.203125e+00,
102,-9.218750e-02,8.203125e+00,
103,-8.437500e-02,8.171875e+00,
104,-8.750000e-02,8.171875e+00,
105,-7.812500e-02,8.125000e+00,
106,-8.125000e-02,8.140625e+00,
107,-6.875000e-02,8.078125e+00,
108,-7.187500e-02,8.093750e+00,
109,-6.093750e-02,8.046875e+00,
110,-6.250000e-02,8.046875e+00,
111,-5.000000e-02,8.000000e+00,
112,-5.312500e-02,8.000000e+00,
113,-3.906250e-02,7.953125e+00,
114,-4.218750e-02,7.953125e+00,
115,-2.812500e-02,7.906250e+00,
116,-2.968750e-02,7.921875e+00,
117,-1.562500e-02,7.859375e+00,
118,-1.718750e-02,7.875000e+00,
119,-1.562500e-03,7.828125e+00,
120,-4.687500e-03,7.828125e+00,
121,9.375000e-03,7.796875e+00,
122,6.250000e-03,7.796875e+00,
123,2.187500e-02,7.750000e+00,
124,2.031250e-02,7.765625e+00,
125,3.281250e-02,7.718750e+00,
126,3.125000e-02,7.734375e+00,
127,4.531250e-02,7.703125e+00,
128,4.375000e-02,7.703125e+00,
129,5.625000e-02,7.671875e+00,
130,5.468750e-02,7.687500e+00,
131,6.562500e-02,7.656250e+00,
132,6.406250e-02,7.671875e+00,
133,7.500000e-02,7.640625e+00,
134,7.187500e-02,7.656250e+00,
135,8.125000e-02,7.640625e+00,
136,7.968750e-02,7.656250e+00,
137,8.750000e-02,7.640625e+00,
138,8.593750e-02,7.640625e+00,
139,9.531250e-02,7.671875e+00,
140,9.062500e-02,7.656250e+00,
